
// 任務文字檔
[name]

item = 40000,1級 新手訓練
item = 41129,跟武癡領取該階段的獎勵
item = 41130,60級經驗加倍符領取
item = 41131,
item = 41132,領取60級經驗加倍符
item = 41133,跟武癡領取該階段的獎勵
item = 41134,75級經驗加倍符領取
item = 41135,
item = 41136,領取75級經驗加倍符
item = 41137,跟武癡領取該階段的獎勵
item = 41138,85級經驗加倍符領取
item = 41139,
item = 41140,領取85級經驗加倍符
item = 41141,跟武癡領取該階段的獎勵
item = 41142,90級經驗加倍符領取
item = 41143,
item = 41144,領取90級經驗加倍符
item = 41145,跟武癡領取該階段的獎勵
item = 41146,95級經驗加倍符領取
item = 41147,
item = 41148,領取95級經驗加倍符
item = 41149,跟武癡領取該階段的獎勵
item = 41150,100級經驗加倍符領取
item = 41151,
item = 41152,領取100級經驗加倍符
item = 41153,跟武癡領取該階段的獎勵
item = 41154,105級經驗加倍符領取
item = 41155,
item = 41156,領取105級經驗加倍符
item = 41157,跟武癡領取該階段的獎勵
item = 41158,110級經驗加倍符領取
item = 41159,
item = 41160,領取110級經驗加倍符
item = 41161,跟武癡領取該階段的獎勵
item = 41162,115級經驗加倍符領取
item = 41163,
item = 41164,領取115級經驗加倍符
item = 41165,跟武癡領取該階段的獎勵
item = 41166,老兵決戰錦囊兌換
item = 41167,
item = 41168,使用老兵決戰錦囊兌換物品
item = 41169,跟軍需官兌換
item = 41170,群英回歸活動
item = 41171,
item = 41172,向招募回歸使者領取獎勵
item = 41173,每位玩家可拿群英回歸錦囊跟招募回歸使者領取一次獎勵。
item = 41174,60級 猛將、豪傑獎勵
item = 41175,
item = 41176,向露天市場的英雄訓練官領取60級獎勵
item = 41177,60級獎勵。
item = 41178,70級 猛將、豪傑獎勵
item = 41179,
item = 41180,向露天市場的英雄訓練官領取70級獎勵
item = 41181,70級獎勵。
item = 41182,80級 猛將豪傑獎勵
item = 41183,
item = 41184,向露天市場的英雄訓練官領取80級獎勵
item = 41185,80級獎勵。
item = 41186,60級 軍師、方士獎勵
item = 41187,
item = 41188,向露天市場的英雄訓練官領取60級獎勵
item = 41189,60級獎勵。
item = 41190,70級 軍師、方士獎勵
item = 41191,
item = 41192,向露天市場的英雄訓練官領取70級獎勵
item = 41193,70級獎勵。
item = 41194,80級 軍師、方士獎勵
item = 41195,
item = 41196,向露天市場的英雄訓練官領取80級獎勵
item = 41197,80級獎勵。
item = 41198,65活動任務
item = 41199,
item = 41200,向週年慶65級巡禮師領取獎勵
item = 41201,每位玩家65級時可以領取一次獎勵。
item = 41202,向土地公求籤
item = 41203,
item = 41204,向@B假半仙@A身旁的@B土地公廟@A求支@B靈籤@A
item = 41205,與@B假半仙@A對話後，告知欲學習增加負重之技能，需先向假半仙身旁的@B土地公廟@A求支@B靈籤@A。
item = 41206,60級 增加負重之巨魔之牙
item = 41207,
item = 41208,至@B先秦地監地下三層@A擊敗@B原始巨魔
item = 41209,假半仙解讀靈籤內容後，告知欲習得負重技能，需先為其擊敗@B原始巨魔@A，取得@B巨魔之牙@A。原始巨魔棲息於@B先秦地監地下三層@C(勿將任務丟棄，丟棄後無法再次接到任務！)@A。
item = 41210,60級 增加負重之酋長毛髮
item = 41211,
item = 41212,至@B先秦地監地下二層@A擊敗@B夜叉酋長
item = 41213,假半仙解讀靈籤內容後，告知欲習得負重技能，需先為其擊敗@B夜叉酋長@A，取得@B酋長毛髮@A。夜叉酋長棲息於@B先秦地監地下二層@C(勿將任務丟棄，丟棄後無法再次接到任務！)@A。
item = 41214,60級 增加負重之口腹之慾
item = 41215,
item = 41216,準備@B酒肉@A供奉土地公
item = 41217,假半仙解讀靈籤內容後，告知欲習得負重技能，需準備@B20個牛肉大餅@A及@B50個老酒@A供奉土地公@C(勿將任務丟棄，丟棄後無法再次接到任務！)@A。
item = 41218,60級 增加負重之上上籤
item = 41219,
item = 41220,@C您真幸運！(勿將任務丟棄，丟棄後無法再次接到任務！)@A
item = 41221,假半仙解讀靈籤內容後，告知其為上上籤！@B直接向假半仙學習技能@A即可。
item = 41222,60級 增加負重之努力唸書
item = 41223,
item = 41224,為假半仙到商店購買書籍
item = 41225,為假半仙到各地書舖蒐集下列六本書籍：@B一本命療術術訣、一本破咒術術訣、一本御飛刀術訣、一本神行法術訣、一本鐵腕法術訣、一本剛體法術訣@A。
item = 41226,離婚手續條約
item = 41227,
item = 41228,離婚注意事項
item = 41229,此次辦理離婚手續後，@B需等待一週的時間@A才能再次進行離婚。@C(需在線滿「遊戲時間」一週)@A
item = 41230,2010大陸神農兌換活動
item = 41231,
item = 41232,向神農領取兌換券
8017領取扮裝小象
8025虎年回饋
item = 41233,每位上線滿 24小時的玩家皆可領取依次。（此任務為24小時領取一次，活動期間可重複領取）
item = 41234,2010新年活動
item = 41235,
item = 41236,向虎躍龍翔使者領取入場卷
item = 41237,每位等級超過80級的玩家皆可領取。（此任務為24小時一次）
item = 41238,測試事件
item = 41239,
item = 41240,步驟001
item = 41241,步驟001,TIP說明
item = 41242,步驟002
item = 41243,步驟002,TIP說明
item = 41244,步驟003
item = 41245,步驟003,TIP說明
item = 41246,步驟004
item = 41247,步驟004,TIP說明
item = 41248,步驟005
item = 41249,步驟005,TIP說明
item = 41250,步驟006
item = 41251,步驟006,TIP說明
item = 41252,步驟007
item = 41253,步驟007,TIP說明
item = 41254,步驟008
item = 41255,步驟008,TIP說明
item = 41256,步驟009
item = 41257,步驟009,TIP說明
item = 41258,步驟010
item = 41259,步驟010,TIP說明
item = 41260,步驟011
item = 41261,步驟011,TIP說明
item = 41262,步驟012
item = 41263,步驟012,TIP說明
item = 41264,步驟013
item = 41265,步驟013,TIP說明
item = 41266,步驟014
item = 41267,步驟014,TIP說明
item = 41268,步驟015
item = 41269,步驟015,TIP說明
item = 41270,步驟016
item = 41271,步驟016,TIP說明
item = 41272,步驟017
item = 41273,步驟017,TIP說明
item = 41274,步驟018
item = 41275,步驟018,TIP說明
item = 41276,步驟019
item = 41277,步驟019,TIP說明
item = 41278,步驟020
item = 41279,步驟020,TIP說明
item = 41280,步驟021
item = 41281,步驟021,TIP說明
item = 41282,步驟022
item = 41283,步驟022,TIP說明
item = 41284,步驟023
item = 41285,步驟023,TIP說明
item = 41286,步驟024
item = 41287,步驟024,TIP說明
item = 41288,步驟025
item = 41289,步驟025,TIP說明
item = 41290,步驟026
item = 41291,步驟026,TIP說明
item = 41292,步驟027
item = 41293,步驟027,TIP說明
item = 41294,步驟028
item = 41295,步驟028,TIP說明
item = 41296,步驟029
item = 41297,步驟029,TIP說明
item = 41298,步驟030
item = 41299,步驟030,TIP說明
item = 41300,步驟031
item = 41301,步驟031,TIP說明
item = 41302,步驟032
item = 41303,步驟032,TIP說明
item = 42304,步驟010
item = 42305,步驟010,TIP說明
item = 42306,步驟011
item = 42307,步驟011,TIP說明
item = 42308,步驟012
item = 42309,步驟012,TIP說明
item = 42310,步驟013
item = 42311,步驟013,TIP說明
item = 42312,步驟014
item = 42313,步驟014,TIP說明
item = 42314,步驟015
item = 42315,步驟015,TIP說明
item = 42316,步驟016
item = 42317,步驟016,TIP說明
item = 42318,步驟017
item = 42319,步驟017,TIP說明
item = 42320,步驟018
item = 42321,步驟018,TIP說明
item = 42322,步驟019
item = 42323,步驟019,TIP說明
item = 42324,步驟020
item = 42325,步驟020,TIP說明
item = 42326,步驟021
item = 42327,步驟021,TIP說明
item = 42328,步驟022
item = 42329,步驟022,TIP說明
item = 42330,步驟023
item = 42331,步驟023,TIP說明
item = 42332,步驟024
item = 42333,步驟024,TIP說明
item = 42334,步驟025
item = 42335,步驟025,TIP說明
item = 42336,步驟026
item = 42337,步驟026,TIP說明
item = 42338,步驟027
item = 42339,步驟027,TIP說明
item = 42340,步驟028
item = 42341,步驟028,TIP說明
item = 42342,步驟029
item = 42343,步驟029,TIP說明
item = 42344,步驟030
item = 42345,步驟030,TIP說明
item = 42346,步驟031
item = 42347,步驟031,TIP說明
item = 42348,步驟032
item = 42349,步驟032,TIP說明
item = 42350,135級 裝備獎勵
item = 42351,
item = 42352,向露天市場的新兵領導官領取135及獎勵
item = 42353,135級獎勵。
item = 42354,70級 名將挑戰-【太史慈】（每12小時一次）
item = 42355,
item = 42356,取得【名將討伐令】
item = 42357,成功討伐【太史慈】獲取【名將討伐令】

item = 42358,VIP回饋（每24小時一次）
item = 42359,裝備VIP裝扮
item = 42360,裝備VIP裝扮後再來
item = 42361,裝備VIP裝扮
