// NPC名稱(複製到 GameResource.txt)

[name]
item = 50000,現在天下大亂，當兵打仗是最有發展的啦！
item = 53278,您帶了太多行李，如何攜帶亂賊布兵圖？
item = 53279,好漢願冒險相助，賈某先行謝過。@B曲阿亂賊布兵圖@A請您收下，務必及早送交@B曲阿@A主簿@B許道@A，此事關係重大，請好漢小心行事。
item = 53280,俠女願冒險相助，賈某先行謝過。@B曲阿亂賊布兵圖@A請您收下，務必及早送交@B曲阿@A主簿@B許道@A，此事關係重大，請俠女小心行事。
item = 53281,在下有禮物贈送，請將行李整理一番！
item = 53282,亂賊布兵圖既入曲阿駐軍手中，討平逆賊便多了幾分把握，賈某立即上表，記好漢大功一筆。
item = 53283,亂賊布兵圖既入曲阿駐軍手中，討平逆賊便多了幾分把握，，賈某立即上表，記俠女大功一筆。
item = 53284,賊兵連日調兵遣將、改換陣地，一時之間難以探知虛實，如今敵暗我明，情勢大大不利。
item = 53285,我軍連連受挫，全因賊兵仗地利之便，得以神出鬼沒之故，今日既得布兵圖，殲滅逆賊不過早晚之事。
item = 53286,嗯！你是不是忘了什麼？
item = 53287,這是˙˙˙本地亂賊的布兵圖！哈哈！我軍得此物，討賊一役猶如甕中抓鱉，請英雄回轉@B天柱山@A，代我多謝@B賈彥@A大人，我軍定妥善利用此物。
item = 53288,這是˙˙˙本地亂賊的布兵圖！哈哈！我軍得此物，討賊一役猶如甕中抓鱉，請姑娘回轉@B天柱山@A，代我多謝@B賈彥@A大人，我軍定妥善利用此物。
item = 53289,請英雄速速回轉@B天柱山@A，回報@B賈彥@A大人，本地駐軍得亂賊布兵圖，戰局已十拿九穩，請他放心。
item = 53290,請姑娘速速回轉@B天柱山@A，回報@B賈彥@A大人，本地駐軍得亂賊布兵圖，戰局已十拿九穩，請他放心。
item = 53291,虎牢關有個名叫阿肥的鞋匠，他做的獸皮鞋舒適又耐用，改天若是經過，我一定要跟他再買雙鞋。
item = 53292,你的實力尚可而已，逞強行事，恐怕害人害己！##(@C承接任務等級限制 28@A)
item = 53293,沒關係，我另找他人幫助，打擾了！
item = 53294, @B滎陽@A一地，請問小兄弟是否知曉路徑？
item = 53295,知道
item = 53296,不知道
item = 53297, @B滎陽@A一地，請問小姑娘是否知曉路徑？
item = 53298,知道
item = 53299,不知道
item = 53300,本地駐軍前日殲滅一夥亂賊時，竟搜出一本@B滎陽亂賊兵員冊@A，如果能把這名冊送交@B滎陽@A主簿@B高堂俊@A大人，討平滎陽之亂便指日可待，本地駐軍疑有亂賊奸細，我實在不知何人可信，不知小兄弟可願代我走這一趟？#事成後，必為小兄弟記一大功。
item = 53301,願意
item = 53302,拒絕
item = 53303,本地駐軍前日殲滅一夥亂賊時，竟搜出一本@B滎陽亂賊兵員冊@A，如果能把這名冊送交@B滎陽@A主簿@B高堂俊@A大人，討平滎陽之亂便指日可待，本地駐軍疑有亂賊奸細，我實在不知何人可信，不知小姑娘可願代我走這一趟？#事成後，必為小姑娘記一大功。
item = 53304,願意
item = 53305,拒絕
item = 53306,這本@B滎陽亂賊兵員冊@A記載潛伏在當地的亂賊姓名，請您快啟程前往@B滎陽@A，將這本名冊交給主簿@B高堂俊@A大人，此事一成，平定滎陽之日不遠。
item = 53307,您行李未免太過繁重？實在難以攜帶亂賊兵員冊。
item = 53308,請小兄弟速速護送@B滎陽亂賊兵員冊@A前往@B滎陽@A送交主簿@B高堂俊@A大人。此乃軍機大事，要不是事態緊急，我實在不願讓小兄弟牽涉其中。
item = 53309,請小姑娘速速護送@B滎陽亂賊兵員冊@A前往@B滎陽@A送交主簿@B高堂俊@A大人。此乃軍機大事，要不是事態緊急，我實在不願讓姑娘牽涉其中。
item = 53310,我有點禮物贈送，請整理行囊後再來！
item = 53311,滎陽駐軍憑藉亂賊兵員冊，定能掃除潛伏於當地的奸細，討逆大業可說是成功了一半，多謝小兄弟冒險幫助我軍，待我為小兄弟記一大功，以為嘉獎。
item = 53312,滎陽駐軍憑藉亂賊兵員冊，定能掃除潛伏於當地的奸細，討逆大業可說是成功了一半，多謝小姑娘冒險幫助我軍，待我為小姑娘記一大功，以為嘉獎。
item = 53313,逆賊於本地埋伏眾多奸細，時而散布謠言，時而煽動軍心，實在可恨！
item = 53314,得亂賊兵員冊，本地奸細便無所遁形，若光明正大一戰，此番賊人豈是我軍對手？
item = 53315,嗯！你是不是忘了什麼？
item = 53316,哈哈！得此亂賊兵員冊，實在是天助我軍，多謝公子冒險護送此物，請回報@B大興山@A的主簿@B張肇@A大人，在下確實領受此物了。
item = 53317,哈哈！得此亂賊兵員冊，實在是天助我軍，多謝小姐冒險護送此物，請回報@B大興山@A的主簿@B張肇@A大人，在下確實領受此物了。
item = 53318,公子請即刻返回@B大興山@A，回報主簿@B張肇@A大人，有此亂賊兵員冊，本地奸細必可一掃而空。
item = 53319,小姐請即刻返回@B大興山@A，回報主簿@B張肇@A大人，有此亂賊兵員冊，本地奸細必可一掃而空。
item = 53320,我和拜把兄弟葉嘉早就約定好，等我倆當兵存夠了錢，要合夥開間小館子，將來娶妻生子，我們的孩子也要結拜為兄弟姊妹，兩家世代結交。
item = 53321,看你這個樣子，這忙你是鐵定幫不上的！##(@C承接任務等級限制 30@A)
item = 53322,沒關係，這事不急，您請慢走！
item = 53323,這位大哥，請問你這趟路會不會經過@B宛@A這地方啊？
item = 53324,會
item = 53325,不會
item = 53326,這位妹子，請問你這趟路會不會經過@B宛@A這地方啊？
item = 53327,會
item = 53328,不會
item = 53329,這樣剛好，我有個在軍中認識的拜把兄弟@B葉嘉@A，眼下駐守在@B宛@A，能不能麻煩大哥順路幫我帶封@B親筆信@A過去？#我願意用碎銀當作酬謝。
item = 53330,願意
item = 53331,拒絕
item = 53332,這樣剛好，我有個在軍中認識的拜把兄弟@B葉嘉@A，眼下駐守在@B宛@A，能不能麻煩妹子順路幫我帶封@B親筆信@A過去？#我願意用碎銀當作酬謝。
item = 53333,願意
item = 53334,拒絕
item = 53335,我和拜弟@B葉嘉@A即使駐紮兩地，還是時有往來，最近戰事頻頻，我已許久未有拜弟消息，這@B親筆信@A請您到@B宛@A時一定要親手交給他。
item = 53336,您行李太多，帶不上這封親筆信。
item = 53337,這@B親筆信@A麻煩大哥帶到@B宛@A了，我的拜把兄弟@B葉嘉@A就駐紮在那裡。
item = 53338,這@B親筆信@A麻煩妹子帶到@B宛@A了，我的拜把兄弟@B葉嘉@A就駐紮在那裡。
item = 53339,我有些許禮物相贈，請整理行囊後再來！
item = 53340,知道拜弟一切平安，我放心不少，大哥辛苦了，這有碎銀數錠酬謝，請你笑納。
item = 53341,知道拜弟一切平安，我放心不少，妹子辛苦了，這有碎銀數錠酬謝，請你笑納。
item = 53342,好久沒去找方寶大哥喝兩杯了！還真有點想他呢！
item = 53343,俺和方寶大哥約定好，將來我們當兵存夠了錢，要找個平靜的地方開間小客棧。
item = 53344,嗯！你是不是忘了什麼？
item = 53345,原來是方寶大哥托小兄弟捎信來，辛苦啦！回@B新野@A記得幫俺告訴@B方寶@A大哥，俺過幾天放假就去找他喝兩杯。
item = 53346,原來是方寶大哥托小妹子捎信來，辛苦啦！回@B新野@A記得幫俺告訴@B方寶@A大哥，俺過幾天放假就去找他喝兩杯。
item = 53347,小兄弟回到@B新野@A，可要記得告訴@B方寶@A大哥，俺過兩天會去看他。
item = 53348,小妹子回到@B新野@A，可要記得告訴@B方寶@A大哥，俺過兩天會去看他。
item = 53349,我和江夏的胡夫人從小就是好朋友了，年華似水啊！我倆在溪邊牽著手摘花好像還是昨天的事一樣，轉眼間，她的兒子都要娶媳婦了。
item = 53350,看你涉世未深的模樣，辦事怕是不牢靠吧？##(@C承接任務等級限制 30@A)
item = 53351,您不方便沒關係，我找別人也成！
item = 53352,公子留步，冒昧請問您是不是會路經@B江夏@A這地方啊？
item = 53353,會
item = 53354,不會
item = 53355,小姐留步，冒昧請問您是不是會路經@B江夏@A這地方啊？
item = 53356,會
item = 53357,不會
item = 53358,這樣正好，我有個嫁到@B江夏@A的好姊妹家裡過陣子要娶媳婦，公子能不能順路先幫我帶份賀禮過去？#我願以碎銀酬謝之。
item = 53359,願意
item = 53360,拒絕
item = 53361,這樣正好，我有個嫁到@B江夏@A的好姊妹家裡過陣子要娶媳婦，小姐能不能順路先幫我帶份賀禮過去？#我願以碎銀酬謝之。
item = 53362,願意
item = 53363,拒絕
item = 53364,我和@B胡夫人@A從小就情同姊妹，這次她兒子要娶媳婦，我不送份大禮怎麼行？這@B古董字畫@A可是名家的真跡手筆，請您一定要妥善保管，早點送到@B江夏@A去。
item = 53365,您帶了這個多行李，如何攜帶我這古董字畫？
item = 53366,真是謝謝你啦！這賀禮@B古董字畫@A請公子先帶到@B江夏@A交給我的好姐妹@B胡夫人@A，就說到時候我一定過去喝喜酒。
item = 53367,真是謝謝你啦！這賀禮@B古董字畫@A請小姐先帶到@B江夏@A交給我的好姐妹@B胡夫人@A，就說到時候我一定過去喝喜酒。
item = 53368,我有點禮品酬勞，請整理行李後再來！
item = 53369,她收到這賀禮，應該很高興吧？這趟路公子辛苦了，請笑納碎銀數錠，多謝您。
item = 53370,她收到這賀禮，應該很高興吧？這趟路小姐辛苦了，請笑納碎銀數錠，多謝您。
item = 53371,這回我家奎兒娶媳婦，不知道長沙的紀夫人會不會來喝喜酒？好一陣子沒見到她了，心裡老是惦記著。
item = 53372,送來如此貴重的名家字畫當賀禮，胡夫人真不愧是我的好姊妹。
item = 53373,嗯！你是不是忘了什麼？
item = 53374,紀夫人真是見外！姊妹一場，到時候來喝喜酒就是了，怎麼還託人送來這麼貴重的賀禮呢？勞駕小兄弟回到@B長沙@A告訴@B紀夫人@A，喜宴那天請她一定要闔家光臨啊！
item = 53375,紀夫人真是見外！姊妹一場，到時候來喝喜酒就是了，怎麼還託人送來這麼貴重的賀禮呢？勞駕小姑娘回到@B長沙@A告訴@B紀夫人@A，喜宴那天請她一定要闔家光臨啊！
item = 53376,小兄弟回到@B長沙@A，可一定要幫我謝謝@B紀夫人@A，喜宴那天叫她一定要全家光臨，我倆也好敘敘舊。
item = 53377,小姑娘回到@B長沙@A，可一定要幫我謝謝@B紀夫人@A，喜宴那天叫她一定要全家光臨，我倆也好敘敘舊。
item = 53378,您可別小看甘草，它有調和藥性、解百藥毒的功效，雖說是滿賤價的藥材，不過多數的藥方裡，可都少不了它。
item = 53379,陳某有事心煩，請勿打擾！##(@C承接任務等級限制 31@A)
item = 53380,不妨事！我看看還有誰能順路幫忙就成了！
item = 53381,看英雄該是江湖闖蕩之人，敢問近日可要前往@B長沙@A一地？
item = 53382,會
item = 53383,不會
item = 53384,看女英雄該是江湖闖蕩之人，敢問近日可要前往@B長沙@A一地？
item = 53385,會
item = 53386,不會
item = 53387,正好！我有一事欲請英雄代勞，陳某乃是買賣藥材的商賈，日前@B長沙@A的@B夏侯大夫@A訂購了一批@B甘草@A，我實在沒時間給他送過去，英雄是不是能順路代為運送？#陳某願以精工皮靴一雙酬謝英雄。
item = 53388,願意
item = 53389,拒絕
item = 53390,正好！我有一事欲請女英雄代勞，陳某乃是買賣藥材的商賈，日前@B長沙@A的@B夏侯大夫@A訂購了一批@B甘草@A，我實在沒時間給他送過去，女英雄是不是能順路代為運送？#陳某願以精工皮靴一雙酬謝女英雄。
item = 53391,願意
item = 53392,拒絕
item = 53393,這@B甘草包袱@A請送交@B長沙@A的@B夏侯大夫@A，並代我為延誤送貨一事向他致歉。
item = 53394,您帶了太多行李，如何再帶上這甘草包袱？
item = 53395,英雄願行此方便，陳某著實感謝！這份@B甘草包袱@A就交給英雄，請到@B長沙@A尋一位@B夏侯大夫@A，交給他就成了，陳某目前生意繁忙，實在抽不開身，請轉告他，我改天一定登門致歉。
item = 53396,女英雄願行此方便，陳某著實感謝！這份@B甘草包袱@A就交給女英雄，請到@B長沙@A尋一位@B夏侯大夫@A，交給他就成了，陳某目前生意繁忙，實在抽不開身，請轉告他，我改天一定登門致歉。
item = 53397,陳某特備薄禮一份相贈，請整理行李後再來！
item = 53398,那批甘草總算順利送到，所幸沒耽誤夏侯大夫醫治病人，英雄代辦此事，陳某甚為感謝，這裡有雙我年輕時四處辦貨穿著的精工皮靴，我看就轉贈給英雄吧！請英雄莫要推辭。
item = 53399,那批甘草總算順利送到，所幸沒耽誤夏侯大夫醫治病人，女英雄代辦此事，陳某甚為感謝，這裡有雙我年輕時四處辦貨穿著的精工皮靴，我看就轉贈給女英雄吧！請女英雄莫要推辭。
item = 53400,跟陳基訂的那批甘草怎麼還沒從宛運過來？要是沒有這味藥，不知道有多少藥方配不出來，急死我啦！
item = 53401,陳基乃是在下夫人的遠房表兄，我在他那裡訂購藥材，算一算也有十幾年了，他的藥材價錢公道，品質又好，不過他的夥計少，送貨有些慢就是了。
item = 53402,嗯！你是不是忘了什麼？
item = 53403,這批甘草終於送到，差一點連存貨都要見底啦！多謝小兄弟為在下運送，回@B宛@A之後，請轉告@B陳基@A，藥材已及時送到，要他別放在心上。
item = 53404,這批甘草終於送到，差一點連存貨都要見底啦！多謝姑娘為在下運送，回@B宛@A之後，請轉告@B陳基@A，藥材已及時送到，要他別放在心上。
item = 53405,請小兄弟回@B宛@A後轉告@B陳基@A，他的生意忙碌，送貨偶爾有所延遲，在下可以體諒，請他不要掛心。
item = 53406,請姑娘回@B宛@A後轉告@B陳基@A，他的生意忙碌，送貨偶爾有所延遲，在下可以體諒，請他不要掛心。
item = 53407,陶芬妹妹父母早亡，和唯一的姊姊相依為命長大，待我倆成婚後，我一定要好生疼惜，以彌補其幼年孤苦。
item = 53408,在下有事待辦，恕不多談！##(@C承接任務等級限制 31@A)
item = 53409,無妨！是在下所求唐突，望您恕罪。
item = 53410,觀汝行止颯沓如風，必為行走各地的英雄之輩，敢問閣下近日是否將往@B汝南@A一地？
item = 53411,會
item = 53412,不會
item = 53413,觀汝行止颯沓如風，必為行走各地的英雌之輩，敢問閣下近日是否將往@B汝南@A一地？
item = 53414,會
item = 53415,不會
item = 53416,如此甚好！在下即將於近日成婚，欲請英雄代為發送@B喜帖@A給家住@B汝南@A的同窗好友@B張奉@A，不知英雄是否方便？#胡某願以大袖官袍一件酬謝英雄。
item = 53417,願意
item = 53418,拒絕
item = 53419,如此甚好！在下即將於近日成婚，欲請女英雄代為發送@B喜帖@A給家住@B汝南@A的同窗好友@B張奉@A，不知女英雄是否方便？#胡某願以大袖官袍一件酬謝女英雄。
item = 53420,願意
item = 53421,拒絕
item = 53422,在下的同窗好友@B張奉@A就住在@B汝南@A，請閣下代為發送@B喜帖@A，請他到時一定要來喝我這杯喜酒。
item = 53423,您的行李過多，恐怕帶不了在下的喜帖。
item = 53424,英雄願意代勞，請受在下拜謝！@B喜帖@A在此，請您送到@B汝南@A交給在下的好友@B張奉@A，在下婚事已近，請英雄及早上路。
item = 53425,女英雄願意代勞，請受在下拜謝！@B喜帖@A在此，請您送到@B汝南@A交給在下的好友@B張奉@A，在下婚事已近，請女英雄及早上路。
item = 53426,在下有薄禮一份相贈，請整頓行李後再來！
item = 53427,張奉願赴在下喜宴，實在太好了！他不僅和我親如兄弟，與在下的未婚妻陶芬亦是相熟，我倆締結鴛盟，張奉怎能缺席？#感謝英雄代為發送喜帖，這裡有全新大袖官袍一件，乃是我胡家織坊出產的精品，請英雄笑納，以為酬謝。
item = 53428,張奉願赴在下喜宴，實在太好了！他不僅和我親如兄弟，與在下的未婚妻陶芬亦是相熟，我倆締結鴛盟，張奉怎能缺席？#感謝女英雄代為發送喜帖，這裡有全新大袖官袍一件，乃是我胡家織坊出產的精品，請女英雄笑納，以為酬謝。
item = 53429,胡奎兄與陶芬妹妹不知現在過得如何？願他們倆人情深如昔，也不枉當日張某割愛斷情之苦！
item = 53430,當年我與胡奎、陶芬甚為友好，陶芬妹妹溫婉動人，張某本有愛慕之意，無奈胡奎兄亦鍾情於她，所謂君子不奪人所好，張某只得忍痛斷情，成全他倆。
item = 53431,嗯！你是不是忘了什麼？
item = 53432,這是˙˙˙胡奎兄與陶芬妹妹的喜帖！唉～他倆郎才女貌，實乃天作之合，張某當年忍痛退出、成全他倆，也算是有了代價。請好漢返回@B江夏@A告知@B胡奎@A兄，到時張某必準時赴宴。
item = 53433,這是˙˙˙胡奎兄與陶芬妹妹的喜帖！唉～他倆郎才女貌，實乃天作之合，張某當年忍痛退出、成全他倆，也算是有了代價。請姑娘返回@B江夏@A告知@B胡奎@A兄，到時張某必準時赴宴。
item = 53434,待好漢返回@B江夏@A後，請通知@B胡奎@A兄，在下一定會去喝他與陶芬妹妹的喜酒。
item = 53435,待姑娘返回@B江夏@A後，請通知@B胡奎@A兄，在下一定會去喝他與陶芬妹妹的喜酒。
item = 53436,胡奎哥哥人品端正，更對我疼愛有加，能夠嫁他為妻，陶芬已不枉此生。
item = 53437,奴家有事欲尋人相助，恕不閒聊！##(@C承接任務等級限制 31@A)
item = 53438,奴家多有耽誤，請您慢走。
item = 53439,奴家敢問大哥，此去是否途經@B長沙@A一地？
item = 53440,會
item = 53441,不會
item = 53442,奴家敢問女俠，此去是否途經@B長沙@A一地？
item = 53443,會
item = 53444,不會
item = 53445,總算有順路的人了！不瞞大哥，奴家即將於近日嫁為人婦，想送@B喜帖@A給遠嫁@B長沙@A的姊姊，請他前來觀禮，不知大哥是否能幫幫忙？#小女子願以青吾棍酬謝大哥。
item = 53446,願意
item = 53447,拒絕
item = 53448,總算有順路的人了！不瞞女俠，奴家即將於近日嫁為人婦，想送@B喜帖@A給遠嫁@B長沙@A的姊姊，請他前來觀禮，不知女俠是否能幫幫忙？#小女子願以青吾棍酬謝女俠。
item = 53449,願意
item = 53450,拒絕
item = 53451,奴家的的姊姊嫁給姓夏侯的大夫，@B長沙@A人稱@B夏侯夫人@A的便是，請您務必將@B喜帖@A送交給她。
item = 53452,您的行李過多，恐怕帶不上奴家的喜帖。
item = 53453,多謝大哥！奴家的姊姊嫁給@B長沙@A姓夏侯的大夫，城裡的人都喊她@B夏侯夫人@A，麻煩大哥一定要將奴家的@B喜帖@A送到姊姊手上，拜託了。
item = 53454,多謝女俠！奴家的姊姊嫁給@B長沙@A姓夏侯的大夫，城裡的人都喊她@B夏侯夫人@A，麻煩女俠一定要將奴家的@B喜帖@A送到姊姊手上，拜託了。
item = 53455,奴家有薄禮一份相贈，請整頓行李後再來！
item = 53456,太好了！姊姊能夠前來觀禮，真是太好了！#多謝大哥代勞，真不知道該如何感謝您才好？這裡有支青吾棍，是胡奎哥哥送給奴家出外防身用的，現下就轉贈給大哥，請您笑納。
item = 53457,太好了！姊姊能夠前來觀禮，真是太好了！#多謝俠女代勞，真不知道該如何感謝您才好？這裡有支青吾棍，是胡奎哥哥送給奴家出外防身用的，現下就轉贈給女俠，請您笑納。
item = 53458,我遠嫁來此，將妹妹陶芬獨自一人留在故鄉，不知道她最近可好？有沒有讓胡奎那小子欺負了？
item = 53459,胡奎這小子雖然有點愣頭愣腦，可是對我妹妹陶芬呵護備至，小妹能夠嫁給他，我這個做姊姊的也總算是安心了。
item = 53460,嗯！你是不是忘了什麼？
item = 53461,唉啊！小妹她和胡奎那傻小子終於要成親啦！這可是天大的好消息啊！請小兄弟回@B江夏西陌@A跟我妹妹@B陶芬@A說，那天我這個做姊姊一定到，要她安心的準備當新娘子吧！
item = 53462,唉啊！小妹她和胡奎那傻小子終於要成親啦！這可是天大的好消息啊！請姑娘回@B江夏西陌@A跟我妹妹@B陶芬@A說，那天我這個做姊姊一定到，要她安心的準備當新娘子吧！
item = 53463,請小兄弟返回@B江夏西陌@A後，告訴我妹妹@B陶芬@A，我和我家相公一定會去喝這杯喜酒的。
item = 53464,請姑娘返回@B江夏西陌@A後，告訴我妹妹@B陶芬@A，我和我家相公一定會去喝這杯喜酒的。
item = 53465,我見過的繡工中，就屬江夏東墎的龐四娘手藝最為精湛，上品綢緞加上她的精美刺繡，簡直可說是巧奪天工。
item = 53466,請勿打擾！傅某有事心煩。##(@C承接任務等級限制 33@A)
item = 53467,耽誤到您的時間，請見諒。
item = 53468,見英雄裝束，必定時常遊歷各地，傅某請問英雄，近期是否將往@B江夏東墎@A？
item = 53469,會
item = 53470,不會
item = 53471,見姑娘裝束，必定時常遊歷各地，傅某請問姑娘，近期是否將往@B江夏東墎@A？
item = 53472,會
item = 53473,不會
item = 53474,正好！傅某有批@B精選綢緞@A趕著送給@B江夏東墎@A的繡工@B龐四娘@A，英雄是否願意順路為傅某送去？#我願贈送碎銀，以為謝禮。
item = 53475,願意
item = 53476,拒絕
item = 53477,正好！傅某有批@B精選綢緞@A趕著送給@B江夏東墎@A的繡工@B龐四娘@A，姑娘是否願意順路為傅某送去？#我願贈送碎銀，以為謝禮。
item = 53478,願意
item = 53479,拒絕
item = 53480,這批@B精選綢緞@A的買主是@B江夏東墎@A的繡工@B龐四娘@A，聽說是要給人縫製嫁衣用的，請您快些送去，若耽誤到人家的喜事可就糟了！
item = 53481,您帶了太多行李，帶不上這批精選綢緞。
item = 53482,英雄肯幫忙真是太好啦！就請英雄盡快將這批@B精選綢緞@A送到@B江夏東墎@A，交給繡工@B龐四娘@A，聽說這批綢緞是要用來縫嫁衣用的，請英雄快快上路，以免耽誤人家辦喜事。
item = 53483,姑娘肯幫忙真是太好啦！就請姑娘盡快將這批@B精選綢緞@A送到@B江夏東墎@A，交給繡工@B龐四娘@A，聽說這批綢緞是要用來縫嫁衣用的，請姑娘快快上路，以免耽誤人家辦喜事。
item = 53484,傅某有酬勞相贈，請整理行囊後再來！
item = 53485,貨準時送到，我總算松了一口氣！英雄為此事奔波勞苦，傅某實在無以為報，請您收下這幾錠碎銀，作為旅途傍身之用。
item = 53486,貨準時送到，我總算松了一口氣！姑娘為此事奔波勞苦，傅某實在無以為報，請您收下這幾錠碎銀，作為旅途傍身之用。
item = 53487,我訂的那批精選綢緞怎麼還沒到呢？再不快送來，陶芬成親用的嫁衣肯定來不及繡好，我可怎麼跟她交代啊？
item = 53488,胡家公子溫文敦厚，和婉約善良的陶芬實在相配。胡家在咱們江夏有頭有臉的，這嫁衣我非得繡得漂漂亮亮的不可，否則豈不砸了我這「江夏第一繡」的招牌？
item = 53489,嗯！你是不是忘了什麼？
item = 53490,我的綢緞可終於來了！再晚來個幾天，我就是有八隻手也趕不及把嫁衣繡好啦！這位小哥你辛苦了，勞駕回@B新野城東@A跟你老闆@B傅榮@A說，這幾個月的帳我月底就過去跟他結。
item = 53491,我的綢緞可終於來了！再晚來個幾天，我就是有八隻手也趕不及把嫁衣繡好啦！這位小妹你辛苦了，勞駕回@B新野城東@A跟你老闆@B傅榮@A說，這幾個月的帳我月底就過去跟他結。
item = 53492,小哥回到@B新野城東@A後，記得跟你老闆@B傅榮@A說，這批貨我還挺滿意的，月底我就過去跟他把帳結了。
item = 53493,小妹回到@B新野城東@A後，記得跟你老闆@B傅榮@A說，這批貨我還挺滿意的，月底我就過去跟他把帳結了。
item = 53494,我家玉兒天資聰穎過人，可惜無心於功名，鎮日只知遊山玩水。其實這樣也好，如今天下大亂，投身官場猶如以身試火，稍一不慎便是抄家滅族之禍，還是當個平民百姓安穩自在。
item = 53495,閣下閱歷尚淺，難以託付大任。##(@C承接任務等級限制 33@A)
item = 53496,沒事！叨擾閣下了，請見諒。
item = 53497,請問壯士奔走各地，可知@B襄陽青龍道@A一地？
item = 53498,知道
item = 53499,不知道
item = 53500,請問姑娘奔走各地，可知@B襄陽青龍道@A一地？
item = 53501,知道
item = 53502,不知道
item = 53503,壯士既知曉路徑，可否答應妾身一事？妾身有一子，名喚@B駱玉@A，此子生性喜愛遊歷山水，日前一身輕便裝束便往@B襄陽青龍道@A去，妾身想請壯士送件@B披風@A去給他，以免受寒著涼，未知是否方便？#事後吾必以碎銀酬之。
item = 53504,願意
item = 53505,拒絕
item = 53506,姑娘既知曉路徑，可否答應妾身一事？妾身有一子，名喚@B駱玉@A，此子生性喜愛遊歷山水，日前一身輕便裝束便往@B襄陽青龍道@A去，妾身想請姑娘送件@B披風@A去給他，以免受寒著涼，未知是否方便？#事後吾必以碎銀酬之。
item = 53507,願意
item = 53508,拒絕
item = 53509,請您將這@B披風包袱@A送到@B襄陽青龍道@A，交給吾兒@B駱玉@A，叫他早晚披著，省得著涼。
item = 53510,閣下行李過多，帶不上這個披風包袱。
item = 53511,真是多謝壯士了！吾兒@B駱玉@A就在@B襄陽青龍道@A遊玩，請你將這個@B披風包袱@A交給他，要他早晚披在身上，別給凍著啦！
item = 53512,真是多謝姑娘了！吾兒@B駱玉@A就在@B襄陽青龍道@A遊玩，請妳將這個@B披風包袱@A交給他，要他早晚披在身上，別給凍著啦！
item = 53513,妾身有物相酬，請整理行裝後再來！
item = 53514,玉兒有披風保暖，妾身就不擔心他受凍傷風了。感謝壯士特地跑這一趟，請收下碎銀數錠，到茶館喝杯茶，歇息一下吧！
item = 53515,玉兒有披風保暖，妾身就不擔心他受凍傷風了。感謝姑娘特地跑這一趟，請收下碎銀數錠，到茶館喝杯茶，歇息一下吧！
item = 53516,駱某熟讀兵法謀略，本有出仕之志，親見戰場慘狀後，方大澈大悟，軍師謀士每設一計，沙場上便得添上亡魂無數，縱是絕妙好計，亦難掩其血腥。駱某此生惟願逍遙山水，斷不出仕為官。
item = 53517,駱某聞此地風光宜人，未著細想便輕裝前來，還要勞煩娘親託人送來禦寒衣物，實在慚愧。
item = 53518,嗯！你是不是忘了什麼？
item = 53519,原來是娘親拜託好漢送來禦寒披風，辛苦辛苦。請好漢回轉@B江夏東墎@A代我稟告娘親，駱玉近日便會返家，請她不要擔心。
item = 53520,原來是娘親拜託姑娘送來禦寒披風，辛苦辛苦。請姑娘回轉@B江夏東墎@A代我稟告娘親，駱玉近日便會返家，請她不要擔心。
item = 53521,好漢返回@B江夏東墎@A後，請代在下稟告娘親，就說駱玉再遊玩數日便會返家，請娘親安心。
item = 53522,姑娘返回@B江夏東墎@A後，請代在下稟告娘親，就說駱玉再遊玩數日便會返家，請娘親安心。
item = 53523,近日戰事頻頻，各地駐軍將士調動不斷，城裡的傳令公差根本就不夠用。
item = 53524,觀汝眼神輕浮，乃閱歷淺薄之像，教我如何託付大事。##(@C承接任務等級限制 33@A)
item = 53525,不妨事！吾另尋他人便是，請慢走。
item = 53526,英雄可知@B徐州西阡@A如何去？
item = 53527,知道
item = 53528,不知道
item = 53529,女英雄可知@B徐州西阡@A如何去？
item = 53530,知道
item = 53531,不知道
item = 53532,既知路徑，老夫就直說了。老夫日前接獲指示，欲調派@B徐州西阡@A的守將校尉@B簡義@A往前線支援，不料手下傳令皆公務在外，事在燃眉，只有拜託英雄跑這一趟，不知能否應允？#事成必有碎銀酬勞。
item = 53533,願意
item = 53534,拒絕
item = 53535,既知路徑，老夫就直說了。老夫日前接獲指示，欲調派@B徐州西阡@A的守將校尉@B簡義@A往前線支援，不料手下傳令皆公務在外，事在燃眉，只有拜託女英雄跑這一趟，不知能否應允？#事成必有碎銀酬勞。
item = 53536,願意
item = 53537,拒絕
item = 53538,請您早早上路，將@B調職令@A送至@B徐州西阡@A，交予校尉@B簡義@A，要他即日上任，不得有誤。
item = 53539,您行李繁重，如何攜帶調職令？
item = 53540,謝英雄出手相助！@B調職令@A在此，請速往@B徐州西阡@A，傳達予校尉@B簡義@A，命他即日調任，趕赴前線。
item = 53541,謝女英雄出手相助！@B調職令@A在此，請速往@B徐州西阡@A，傳達予校尉@B簡義@A，命他即日調任，趕赴前線。
item = 53542,老夫有物相贈，請整理行囊後再來！
item = 53543,調職令順利送達簡校尉之手，老夫便安心了。英雄兩地來回，代行公家之事，老夫甚為感激，特贈碎銀數錠，請英雄收下。
item = 53544,調職令順利送達簡校尉之手，老夫便安心了。女英雄兩地來回，代行公家之事，老夫甚為感激，特贈碎銀數錠，請女英雄收下。
